epoch,step,loss
1,1,4.135377407073975
1,2,4.12536096572876
1,3,4.087895393371582
1,4,4.037651538848877
1,5,3.9758224487304688
1,6,3.9681997299194336
1,7,3.902341365814209
1,8,3.590588092803955
1,9,3.7160251140594482
1,10,3.713874340057373
