epoch,step,train_loss,train_acc
1,1,2.309105157852173,0.0625
1,2,2.306161642074585,0.0703125
1,3,2.2364182472229004,0.1484375
1,4,2.241469383239746,0.171875
1,5,2.222604751586914,0.1875
1,6,2.184663772583008,0.2109375
1,7,2.137542247772217,0.2890625
1,8,2.1144089698791504,0.2734375
1,9,2.1087136268615723,0.3046875
1,10,2.1097254753112793,0.328125
1,11,2.0438454151153564,0.421875
1,12,2.0184569358825684,0.375
1,13,1.9809035062789917,0.4921875
1,14,2.010423421859741,0.3828125
1,15,1.9851186275482178,0.4296875
1,16,1.9303134679794312,0.4921875
1,17,1.9275339841842651,0.421875
1,18,1.9087626934051514,0.421875
1,19,1.8648488521575928,0.515625
1,20,1.8435884714126587,0.4609375
1,21,1.8727117776870728,0.4375
1,22,1.8396211862564087,0.4765625
1,23,1.805161714553833,0.5390625
1,24,1.7789156436920166,0.5625
1,25,1.7742161750793457,0.5
1,26,1.7507236003875732,0.546875
1,27,1.8099548816680908,0.46875
1,28,1.7410235404968262,0.5
1,29,1.8141191005706787,0.453125
1,30,1.7810665369033813,0.46875
1,31,1.6971962451934814,0.53125
1,32,1.7549041509628296,0.4765625
1,33,1.7346162796020508,0.515625
1,34,1.6850286722183228,0.578125
1,35,1.7725523710250854,0.46875
1,36,1.612015962600708,0.59375
1,37,1.6543725728988647,0.53125
1,38,1.6913875341415405,0.4765625
1,39,1.5485492944717407,0.6171875
1,40,1.6086524724960327,0.5546875
1,41,1.6423912048339844,0.484375
1,42,1.6823643445968628,0.484375
1,43,1.6409227848052979,0.515625
1,44,1.4994590282440186,0.609375
1,45,1.6083461046218872,0.5234375
1,46,1.5728635787963867,0.5703125
1,47,1.4718260765075684,0.59375
1,48,1.562281608581543,0.59375
1,49,1.518294095993042,0.609375
1,50,1.4983997344970703,0.6015625
1,51,1.5937293767929077,0.4921875
1,52,1.6011682748794556,0.453125
1,53,1.618656873703003,0.453125
1,54,1.495046854019165,0.5234375
1,55,1.4650988578796387,0.5859375
1,56,1.4693176746368408,0.53125
1,57,1.4376983642578125,0.640625
1,58,1.4057273864746094,0.578125
1,59,1.4688472747802734,0.5078125
1,60,1.525317668914795,0.4921875
1,61,1.4103872776031494,0.59375
1,62,1.45607590675354,0.578125
1,63,1.4416873455047607,0.5234375
1,64,1.3755451440811157,0.6015625
1,65,1.4210665225982666,0.5390625
1,66,1.5275051593780518,0.484375
1,67,1.410069465637207,0.625
1,68,1.475287675857544,0.53125
1,69,1.4727662801742554,0.5234375
1,70,1.4459655284881592,0.59375
1,71,1.3778945207595825,0.5625
1,72,1.4786016941070557,0.5078125
