epoch,step,loss
1,1,4.82857608795166
1,2,4.8684868812561035
1,3,4.6777849197387695
1,4,4.616761684417725
1,5,4.749081611633301
1,6,4.637847900390625
1,7,4.637856483459473
1,8,4.700815677642822
1,9,4.588280200958252
1,10,4.431397438049316
1,11,4.418605804443359
1,12,4.545290946960449
1,13,4.330914497375488
1,14,4.436851978302002
1,15,4.1834797859191895
1,16,4.421832084655762
1,17,4.5228424072265625
1,18,4.275081157684326
1,19,4.29449987411499
1,20,4.467409610748291
1,21,4.506608963012695
1,22,4.346672058105469
1,23,4.494043827056885
1,24,4.444580078125
1,25,4.244765758514404
1,26,4.218476295471191
1,27,4.278323173522949
1,28,4.263004779815674
1,29,4.454347610473633
1,30,4.565957069396973
1,31,4.193531036376953
1,32,4.452095031738281
1,33,4.312735557556152
1,34,4.185003757476807
1,35,4.284411907196045
1,36,4.292586326599121
1,37,4.259117126464844
1,38,4.269793510437012
1,39,4.286206245422363
1,40,4.145130634307861
1,41,4.242138385772705
1,42,4.162356376647949
1,43,4.308701515197754
1,44,4.212478160858154
1,45,4.222609519958496
1,46,4.2407002449035645
1,47,4.159032821655273
1,48,4.203764915466309
1,49,4.193472862243652
1,50,4.213555812835693
1,51,4.2708330154418945
1,52,4.138315200805664
1,53,4.184576034545898
1,54,4.32274055480957
1,55,4.137847900390625
1,56,4.20864725112915
1,57,4.237710952758789
1,58,4.321682929992676
1,59,4.2371015548706055
1,60,4.234395503997803
1,61,4.291839599609375
1,62,4.274892330169678
1,63,4.142134666442871
1,64,4.256419658660889
1,65,4.190548419952393
1,66,4.230746269226074
1,67,4.088817119598389
1,68,4.159599304199219
1,69,4.23537015914917
1,70,4.1737470626831055
1,71,4.197519302368164
1,72,4.168704986572266
1,73,4.168686866760254
1,74,4.33197546005249
1,75,4.2389655113220215
1,76,4.204817295074463
1,77,4.075231552124023
1,78,4.344319820404053
1,79,4.209789276123047
1,80,4.179716110229492
1,81,4.088353157043457
1,82,4.045434951782227
1,83,4.138123512268066
1,84,4.274824142456055
1,85,4.163140296936035
1,86,4.251166343688965
1,87,4.031546115875244
1,88,4.177080154418945
