epoch,step,loss
1,1,5.51809549331665
1,2,5.4324421882629395
1,3,5.385312080383301
1,4,5.32846736907959
1,5,5.283148765563965
1,6,5.180528163909912
1,7,5.06342887878418
1,8,5.043033599853516
1,9,5.045176029205322
1,10,4.997580528259277
1,11,5.141985893249512
1,12,5.142966270446777
1,13,5.051102638244629
1,14,5.095060348510742
1,15,5.167666435241699
1,16,5.149590492248535
1,17,5.044464588165283
1,18,5.079503536224365
1,19,5.056147575378418
1,20,4.951981544494629
1,21,4.972293853759766
1,22,5.0237274169921875
1,23,4.9377241134643555
1,24,4.978374004364014
1,25,5.047374725341797
1,26,4.7588982582092285
1,27,4.933088302612305
1,28,4.974483013153076
1,29,4.843135833740234
1,30,4.929592132568359
1,31,4.967475891113281
1,32,4.89588737487793
1,33,4.886709690093994
1,34,5.007927894592285
1,35,4.9168901443481445
1,36,4.767208099365234
1,37,4.770598888397217
1,38,4.980020046234131
1,39,4.786197662353516
1,40,4.826867580413818
1,41,4.8236799240112305
1,42,4.847143173217773
1,43,4.853198051452637
1,44,4.913263320922852
1,45,4.754161834716797
1,46,4.741043567657471
1,47,4.761329650878906
1,48,4.832160949707031
1,49,4.905984878540039
1,50,4.784128189086914
1,51,4.868873119354248
1,52,4.875683784484863
1,53,4.691062927246094
1,54,4.762627601623535
1,55,4.818503379821777
1,56,4.90268087387085
1,57,4.8329315185546875
1,58,4.734304428100586
1,59,4.841861724853516
1,60,4.757064342498779
1,61,4.710845947265625
1,62,4.73919677734375
1,63,4.738156795501709
1,64,4.838048458099365
1,65,4.7481536865234375
1,66,4.742239952087402
1,67,4.750909805297852
1,68,4.821926593780518
1,69,4.633786678314209
1,70,4.654762268066406
1,71,4.839651107788086
1,72,4.8331499099731445
1,73,4.698915004730225
1,74,4.7489013671875
1,75,4.706058502197266
1,76,4.774216651916504
1,77,4.790619373321533
1,78,4.65329647064209
1,79,4.6762495040893555
1,80,4.7652177810668945
1,81,4.7785491943359375
1,82,4.662917137145996
1,83,4.610320568084717
1,84,4.6465044021606445
1,85,4.742652893066406
1,86,4.695373058319092
1,87,4.755748271942139
1,88,4.689637184143066
1,89,4.482728958129883
1,90,4.649155139923096
1,91,4.711306095123291
1,92,4.575987815856934
1,93,4.6985249519348145
