epoch,step,train_loss,train_acc
1,1,2.2733020782470703,0.1484375
1,2,2.2305924892425537,0.1953125
1,3,2.232182741165161,0.1640625
1,4,2.1875088214874268,0.328125
1,5,2.202268123626709,0.2890625
1,6,2.1719653606414795,0.3671875
1,7,2.1355323791503906,0.3359375
1,8,2.149383068084717,0.359375
1,9,2.1320431232452393,0.3828125
1,10,2.1333487033843994,0.375
1,11,2.0943286418914795,0.421875
1,12,2.0768957138061523,0.40625
1,13,2.07403826713562,0.453125
1,14,2.092196226119995,0.34375
1,15,2.057366132736206,0.4296875
1,16,2.0149049758911133,0.4609375
1,17,2.0064995288848877,0.484375
1,18,1.9899896383285522,0.484375
1,19,1.9409372806549072,0.53125
1,20,1.9595595598220825,0.5234375
1,21,1.9487147331237793,0.46875
1,22,1.9524469375610352,0.5234375
1,23,1.9255162477493286,0.4921875
1,24,1.9214541912078857,0.4765625
1,25,1.920077919960022,0.4609375
1,26,1.883728265762329,0.453125
1,27,1.9414927959442139,0.3828125
1,28,1.8973358869552612,0.484375
1,29,1.9254752397537231,0.4609375
1,30,1.9059672355651855,0.4765625
1,31,1.835666537284851,0.5
1,32,1.9084089994430542,0.4140625
1,33,1.8379861116409302,0.515625
1,34,1.8264267444610596,0.5
1,35,1.8888064622879028,0.453125
1,36,1.7813851833343506,0.53125
1,37,1.8159613609313965,0.46875
1,38,1.8337867259979248,0.4765625
1,39,1.7445580959320068,0.5390625
1,40,1.7636666297912598,0.5546875
1,41,1.7736403942108154,0.46875
1,42,1.8382211923599243,0.4453125
1,43,1.7993769645690918,0.484375
1,44,1.6774176359176636,0.578125
1,45,1.7440322637557983,0.5
1,46,1.711794376373291,0.5859375
1,47,1.644486427307129,0.578125
1,48,1.731722116470337,0.5
1,49,1.7075865268707275,0.546875
1,50,1.6922657489776611,0.6015625
1,51,1.7266488075256348,0.5078125
1,52,1.7307367324829102,0.4375
1,53,1.7364122867584229,0.46875
1,54,1.6753809452056885,0.5078125
1,55,1.6140246391296387,0.5546875
1,56,1.6359292268753052,0.5234375
1,57,1.6086490154266357,0.59375
1,58,1.554748773574829,0.59375
1,59,1.6212903261184692,0.515625
1,60,1.6779332160949707,0.53125
1,61,1.5946695804595947,0.546875
1,62,1.6244131326675415,0.515625
1,63,1.5809428691864014,0.5
1,64,1.5656901597976685,0.5234375
1,65,1.5648757219314575,0.5625
1,66,1.727969765663147,0.453125
1,67,1.5985910892486572,0.5625
1,68,1.6307803392410278,0.515625
1,69,1.6397087574005127,0.4609375
1,70,1.625375747680664,0.5390625
1,71,1.5547255277633667,0.515625
1,72,1.633833646774292,0.515625
1,73,1.536684274673462,0.515625
1,74,1.553005576133728,0.5234375
1,75,1.7073668241500854,0.4375
1,76,1.5791271924972534,0.515625
1,77,1.5795118808746338,0.5234375
1,78,1.5463054180145264,0.5625
1,79,1.5015950202941895,0.546875
1,80,1.5851175785064697,0.5
1,81,1.668947696685791,0.515625
