epoch,step,loss
1,1,5.485556125640869
1,2,5.048382759094238
1,3,4.677277088165283
1,4,4.494641304016113
1,5,4.36699104309082
1,6,4.317127704620361
1,7,4.258378982543945
1,8,4.154177665710449
1,9,4.124277114868164
1,10,4.106757164001465
1,11,4.065016746520996
1,12,4.049220085144043
1,13,4.075648307800293
1,14,4.032256603240967
1,15,4.038141250610352
1,16,4.046552658081055
1,17,4.030605316162109
1,18,3.9599738121032715
1,19,3.9855947494506836
1,20,3.9988937377929688
1,21,3.9570441246032715
1,22,3.9620652198791504
1,23,3.9737870693206787
1,24,3.93788743019104
1,25,3.9539804458618164
1,26,3.946655511856079
1,27,3.9461121559143066
1,28,3.9180855751037598
1,29,3.923109531402588
1,30,3.897428035736084
1,31,3.918487787246704
1,32,3.8806731700897217
1,33,3.906651020050049
1,34,3.899937391281128
1,35,3.882370710372925
1,36,3.8915603160858154
1,37,3.873382091522217
1,38,3.8717174530029297
1,39,3.8621459007263184
1,40,3.861875534057617
1,41,3.8530073165893555
1,42,3.85307240486145
1,43,3.826625347137451
1,44,3.8296961784362793
1,45,3.8241209983825684
1,46,3.8423469066619873
1,47,3.8282413482666016
1,48,3.8285670280456543
1,49,3.805342674255371
1,50,3.7975566387176514
1,51,3.791749954223633
1,52,3.804428815841675
1,53,3.806008815765381
1,54,3.783228874206543
1,55,3.802861213684082
1,56,3.7877447605133057
1,57,3.8112471103668213
1,58,3.783299207687378
1,59,3.821415424346924
1,60,3.7891335487365723
1,61,3.802338123321533
1,62,3.7876172065734863
1,63,3.7745249271392822
1,64,3.766664981842041
1,65,3.7844038009643555
1,66,3.774524211883545
1,67,3.7576985359191895
1,68,3.766340494155884
1,69,3.764204502105713
1,70,3.7595314979553223
1,71,3.750802516937256
1,72,3.7577335834503174
1,73,3.7660083770751953
1,74,3.746518611907959
1,75,3.7445900440216064
1,76,3.743187189102173
1,77,3.7472376823425293
1,78,3.756985902786255
1,79,3.754403591156006
1,80,3.7490384578704834
1,81,3.740424394607544
1,82,3.7314422130584717
1,83,3.753145694732666
1,84,3.7297606468200684
1,85,3.755009174346924
1,86,3.7491323947906494
1,87,3.7328104972839355
1,88,3.7328271865844727
1,89,3.739149808883667
1,90,3.7314581871032715
1,91,3.7440237998962402
1,92,3.746922731399536
1,93,3.7197909355163574
1,94,3.7303426265716553
1,95,3.7505555152893066
1,96,3.7332262992858887
1,97,3.737567901611328
1,98,3.749467372894287
1,99,3.743969440460205
1,100,3.7373387813568115
1,101,3.715169906616211
1,102,3.725618600845337
1,103,3.7181389331817627
1,104,3.7352497577667236
1,105,3.737485885620117
1,106,3.72817325592041
1,107,3.73874831199646
1,108,3.728827476501465
1,109,3.7379918098449707
1,110,3.722898006439209
1,111,3.7189249992370605
1,112,3.72879695892334
1,113,3.7083404064178467
1,114,3.734344720840454
1,115,3.731877326965332
1,116,3.7238075733184814
1,117,3.7027158737182617
1,118,3.7250986099243164
1,119,3.7380127906799316
1,120,3.725067138671875
1,121,3.7137386798858643
1,122,3.711381196975708
1,123,3.704481601715088
1,124,3.7040841579437256
1,125,3.702159881591797
1,126,3.7032618522644043
1,127,3.698688507080078
1,128,3.700890302658081
1,129,3.709235668182373
1,130,3.7021288871765137
1,131,3.695753812789917
1,132,3.6888301372528076
1,133,3.6908369064331055
1,134,3.688828468322754
1,135,3.704329013824463
1,136,3.699693441390991
1,137,3.6990299224853516
1,138,3.7053427696228027
1,139,3.697908639907837
1,140,3.698540687561035
1,141,3.7019286155700684
1,142,3.7093307971954346
1,143,3.6919031143188477
1,144,3.7111215591430664
1,145,3.6903135776519775
1,146,3.7044944763183594
1,147,3.701559543609619
1,148,3.7059381008148193
1,149,3.729931354522705
1,150,3.7006146907806396
1,151,3.6857457160949707
1,152,3.691598653793335
