epoch,step,train_loss,train_acc
1,1,2.3018620014190674,0.0703125
1,2,2.2799386978149414,0.15625
1,3,2.2802963256835938,0.15625
1,4,2.2720980644226074,0.1796875
1,5,2.2684741020202637,0.265625
1,6,2.2658703327178955,0.234375
1,7,2.2573399543762207,0.25
1,8,2.254462718963623,0.3046875
1,9,2.248660087585449,0.296875
1,10,2.24479341506958,0.3828125
1,11,2.240283727645874,0.375
1,12,2.2339625358581543,0.3984375
1,13,2.229297161102295,0.390625
1,14,2.2287020683288574,0.3359375
1,15,2.2261667251586914,0.390625
1,16,2.2162857055664062,0.390625
1,17,2.205015182495117,0.4296875
1,18,2.1959586143493652,0.5234375
1,19,2.1834659576416016,0.40625
1,20,2.195085048675537,0.4296875
1,21,2.189237594604492,0.4375
1,22,2.1853694915771484,0.3828125
1,23,2.188169002532959,0.3984375
1,24,2.1828689575195312,0.46875
1,25,2.167975425720215,0.453125
1,26,2.1420180797576904,0.53125
1,27,2.1696248054504395,0.4375
1,28,2.15181303024292,0.5
1,29,2.1572368144989014,0.3984375
1,30,2.144688606262207,0.453125
1,31,2.1475820541381836,0.4375
1,32,2.1540026664733887,0.4765625
1,33,2.128632068634033,0.4765625
1,34,2.119174003601074,0.5234375
1,35,2.1501972675323486,0.453125
1,36,2.1110076904296875,0.4921875
1,37,2.109987258911133,0.515625
1,38,2.1349382400512695,0.4296875
1,39,2.0766515731811523,0.5234375
1,40,2.0830612182617188,0.5
1,41,2.0877432823181152,0.46875
1,42,2.113909959793091,0.3984375
1,43,2.1032800674438477,0.4921875
1,44,2.0730857849121094,0.546875
1,45,2.076342821121216,0.4921875
1,46,2.1057348251342773,0.421875
1,47,2.032576560974121,0.6015625
1,48,2.0674550533294678,0.5625
1,49,2.06424617767334,0.578125
1,50,2.0528368949890137,0.640625
1,51,2.0421738624572754,0.4921875
1,52,2.0785772800445557,0.4375
1,53,2.048745632171631,0.484375
1,54,2.0512115955352783,0.46875
1,55,2.027778148651123,0.5234375
1,56,1.996272087097168,0.5390625
1,57,2.01228666305542,0.609375
1,58,2.0015225410461426,0.578125
1,59,2.0052499771118164,0.5390625
1,60,2.0268521308898926,0.5
1,61,1.9776617288589478,0.5859375
1,62,2.004619598388672,0.5390625
1,63,1.985901117324829,0.4765625
1,64,1.985266089439392,0.5546875
1,65,1.9665167331695557,0.5234375
1,66,2.0716609954833984,0.4765625
1,67,1.9928549528121948,0.546875
1,68,2.01285982131958,0.46875
1,69,2.0035626888275146,0.4765625
1,70,2.0049307346343994,0.5078125
1,71,1.9725022315979004,0.5625
1,72,1.9954686164855957,0.484375
1,73,1.939278244972229,0.4765625
1,74,1.9679641723632812,0.515625
1,75,1.992909550666809,0.4140625
1,76,1.9577558040618896,0.4921875
1,77,1.943927526473999,0.5078125
1,78,1.9478182792663574,0.4765625
1,79,1.9266819953918457,0.53125
1,80,1.9471036195755005,0.4609375
1,81,1.9768953323364258,0.515625
1,82,1.9469246864318848,0.515625
1,83,1.9539363384246826,0.4921875
1,84,1.9331088066101074,0.5
1,85,1.867736577987671,0.609375
1,86,1.9566019773483276,0.4375
1,87,1.9279770851135254,0.5
1,88,1.9478983879089355,0.4609375
1,89,1.9398703575134277,0.484375
1,90,1.9107089042663574,0.4765625
1,91,1.847470760345459,0.53125
1,92,1.9348431825637817,0.4765625
1,93,1.840598464012146,0.625
1,94,1.9163439273834229,0.484375
1,95,1.8830163478851318,0.546875
1,96,1.8276586532592773,0.6015625
1,97,1.8901000022888184,0.5546875
1,98,1.8755890130996704,0.515625
1,99,1.9384909868240356,0.4375
1,100,1.8622652292251587,0.5078125
1,101,1.8966681957244873,0.4765625
1,102,1.863227128982544,0.6171875
1,103,1.841760516166687,0.6328125
1,104,1.8508501052856445,0.5234375
1,105,1.9067871570587158,0.5078125
1,106,1.8503100872039795,0.5703125
1,107,1.841655969619751,0.5390625
1,108,1.8627383708953857,0.4765625
1,109,1.8772377967834473,0.484375
1,110,1.8597114086151123,0.578125
1,111,1.883131980895996,0.5625
1,112,1.796844244003296,0.578125
1,113,1.8254036903381348,0.5078125
1,114,1.7745767831802368,0.6015625
1,115,1.7409679889678955,0.578125
1,116,1.8514723777770996,0.53125
1,117,1.8376290798187256,0.5
1,118,1.83480966091156,0.5390625
1,119,1.8797860145568848,0.46875
1,120,1.8166531324386597,0.53125
1,121,1.8061935901641846,0.5625
1,122,1.7947056293487549,0.6328125
1,123,1.7690625190734863,0.578125
1,124,1.7912027835845947,0.484375
1,125,1.8562109470367432,0.4453125
1,126,1.809828281402588,0.484375
1,127,1.837024450302124,0.53125
1,128,1.7361812591552734,0.546875
1,129,1.7645121812820435,0.4765625
1,130,1.8274320363998413,0.484375
1,131,1.77669358253479,0.53125
1,132,1.7699084281921387,0.5703125
1,133,1.7920464277267456,0.5078125
1,134,1.7492573261260986,0.5546875
1,135,1.7770307064056396,0.515625
1,136,1.6928577423095703,0.6015625
1,137,1.7857403755187988,0.5078125
1,138,1.7522331476211548,0.59375
1,139,1.741466999053955,0.5390625
1,140,1.7401134967803955,0.4921875
1,141,1.7893774509429932,0.5390625
1,142,1.7232176065444946,0.609375
1,143,1.7482550144195557,0.4765625
1,144,1.759281873703003,0.5
1,145,1.7631410360336304,0.5078125
1,146,1.7747995853424072,0.5078125
1,147,1.6798967123031616,0.546875
1,148,1.8178774118423462,0.5390625
1,149,1.7235102653503418,0.4921875
1,150,1.7506059408187866,0.5078125
1,151,1.7128055095672607,0.5859375
1,152,1.6849937438964844,0.578125
1,153,1.704481601715088,0.5703125
1,154,1.7083492279052734,0.59375
1,155,1.6859757900238037,0.5625
1,156,1.7054028511047363,0.5625
1,157,1.7015061378479004,0.5625
1,158,1.7255340814590454,0.4921875
1,159,1.8163268566131592,0.3984375
1,160,1.7125991582870483,0.484375
1,161,1.7410231828689575,0.5859375
1,162,1.8182053565979004,0.4140625
1,163,1.7523889541625977,0.4609375
1,164,1.725230097770691,0.515625
1,165,1.7262439727783203,0.5
1,166,1.8167290687561035,0.390625
1,167,1.6186530590057373,0.6328125
1,168,1.789343237876892,0.484375
1,169,1.6057549715042114,0.6171875
1,170,1.6552528142929077,0.578125
1,171,1.7234814167022705,0.515625
1,172,1.6990504264831543,0.5234375
1,173,1.68450927734375,0.578125
1,174,1.7026572227478027,0.4609375
1,175,1.7077223062515259,0.4921875
1,176,1.5858526229858398,0.6171875
1,177,1.6020984649658203,0.5546875
1,178,1.7061448097229004,0.53125
1,179,1.6599934101104736,0.5390625
1,180,1.6707521677017212,0.4765625
1,181,1.6159167289733887,0.5703125
1,182,1.6996480226516724,0.53125
1,183,1.5662381649017334,0.59375
1,184,1.6472810506820679,0.5546875
1,185,1.5932564735412598,0.5703125
1,186,1.6540443897247314,0.546875
1,187,1.6575536727905273,0.484375
1,188,1.597302794456482,0.5625
1,189,1.5981354713439941,0.578125
1,190,1.6739221811294556,0.4453125
1,191,1.6174695491790771,0.5
1,192,1.640798568725586,0.5703125
1,193,1.673791766166687,0.5390625
1,194,1.663793683052063,0.5234375
1,195,1.6474405527114868,0.5859375
1,196,1.664031982421875,0.53125
1,197,1.6488604545593262,0.484375
1,198,1.6557739973068237,0.5
1,199,1.6063103675842285,0.546875
1,200,1.698413372039795,0.4921875
1,201,1.614983320236206,0.515625
1,202,1.634078860282898,0.515625
1,203,1.6058993339538574,0.515625
1,204,1.5695644617080688,0.5625
1,205,1.6571495532989502,0.5390625
1,206,1.639939308166504,0.5078125
1,207,1.6536242961883545,0.5234375
1,208,1.5970509052276611,0.546875
1,209,1.6113415956497192,0.5
1,210,1.616567850112915,0.5625
1,211,1.6928707361221313,0.4765625
1,212,1.5617172718048096,0.5859375
1,213,1.5952626466751099,0.53125
1,214,1.6809593439102173,0.484375
1,215,1.5396463871002197,0.578125
1,216,1.6760530471801758,0.4453125
1,217,1.616633415222168,0.5703125
1,218,1.6161675453186035,0.5703125
1,219,1.6095685958862305,0.546875
1,220,1.5265167951583862,0.6484375
1,221,1.582627773284912,0.59375
1,222,1.727402687072754,0.4453125
1,223,1.5518226623535156,0.6015625
1,224,1.6324946880340576,0.546875
1,225,1.5306336879730225,0.578125
1,226,1.5941047668457031,0.5546875
1,227,1.6226656436920166,0.578125
1,228,1.5420875549316406,0.6015625
1,229,1.6826452016830444,0.46875
1,230,1.5482265949249268,0.546875
1,231,1.5275928974151611,0.5703125
1,232,1.5634725093841553,0.515625
1,233,1.59016752243042,0.546875
1,234,1.6216338872909546,0.4765625
1,235,1.6125402450561523,0.484375
1,236,1.6264464855194092,0.484375
1,237,1.518796682357788,0.6171875
1,238,1.6046388149261475,0.515625
1,239,1.5551741123199463,0.546875
1,240,1.5449244976043701,0.546875
1,241,1.513950228691101,0.578125
1,242,1.512473702430725,0.5625
1,243,1.5185683965682983,0.5703125
1,244,1.5495059490203857,0.5859375
1,245,1.608693242073059,0.46875
1,246,1.5931929349899292,0.5
1,247,1.5472033023834229,0.5390625
1,248,1.4861223697662354,0.59375
1,249,1.5403428077697754,0.5703125
1,250,1.4553303718566895,0.59375
1,251,1.550652265548706,0.546875
1,252,1.6483737230300903,0.5
1,253,1.510330319404602,0.5703125
