epoch,step,train_loss,train_acc
1,1,3.8531181812286377,0.125
1,2,4.169179916381836,0.0625
1,3,3.4267210960388184,0.15625
1,4,3.5006487369537354,0.0625
1,5,3.2068593502044678,0.09375
1,6,2.528350591659546,0.09375
1,7,2.782953977584839,0.125
1,8,3.1626577377319336,0.125
1,9,2.6127138137817383,0.1875
1,10,3.6291537284851074,0.0625
